"","job","education","age","day_of_week","euribor3m","marital","nr.employed","month"
"26","technician","university.degree",35,"mon",4.857,"married",5191,"may"
"30","unknown","university.degree",55,"mon",4.857,"married",5191,"may"
"33","blue-collar","unknown",49,"mon",4.857,"married",5191,"may"
"40","technician","basic.4y",56,"mon",4.857,"married",5191,"may"
"42","entrepreneur","high.school",32,"mon",4.857,"married",5191,"may"
"43","admin.","professional.course",38,"mon",4.857,"single",5191,"may"
"54","admin.","professional.course",53,"mon",4.857,"single",5191,"may"
"56","technician","professional.course",55,"mon",4.857,"married",5191,"may"
"77","technician","university.degree",55,"mon",4.857,"married",5191,"may"
"88","admin.","university.degree",39,"mon",4.857,"married",5191,"may"
"89","technician","basic.9y",49,"mon",4.857,"married",5191,"may"
"91","admin.","university.degree",35,"mon",4.857,"married",5191,"may"
"93","admin.","unknown",60,"mon",4.857,"married",5191,"may"
"101","services","unknown",54,"mon",4.857,"married",5191,"may"
"103","services","unknown",54,"mon",4.857,"married",5191,"may"
"107","housemaid","basic.6y",34,"mon",4.857,"married",5191,"may"
"109","entrepreneur","unknown",42,"mon",4.857,"married",5191,"may"
"112","unemployed","basic.4y",58,"mon",4.857,"married",5191,"may"
"135","management","university.degree",52,"mon",4.857,"married",5191,"may"
"136","management","university.degree",39,"mon",4.857,"divorced",5191,"may"
"144","blue-collar","basic.4y",53,"mon",4.857,"married",5191,"may"
"157","blue-collar","unknown",51,"mon",4.857,"married",5191,"may"
"163","blue-collar","basic.9y",40,"mon",4.857,"married",5191,"may"
"169","blue-collar","unknown",40,"mon",4.857,"married",5191,"may"
"171","blue-collar","high.school",43,"mon",4.857,"married",5191,"may"
"175","services","high.school",43,"mon",4.857,"married",5191,"may"
"180","blue-collar","basic.9y",37,"mon",4.857,"married",5191,"may"
"190","admin.","university.degree",34,"mon",4.857,"married",5191,"may"
"194","technician","university.degree",42,"mon",4.857,"married",5191,"may"
"195","blue-collar","basic.9y",34,"mon",4.857,"single",5191,"may"
"197","admin.","high.school",37,"mon",4.857,"married",5191,"may"
"198","blue-collar","basic.9y",34,"mon",4.857,"single",5191,"may"
"201","services","high.school",33,"mon",4.857,"married",5191,"may"
"209","services","basic.4y",36,"mon",4.857,"single",5191,"may"
"212","housemaid","university.degree",55,"mon",4.857,"divorced",5191,"may"
"224","technician","basic.4y",46,"mon",4.857,"married",5191,"may"
"225","technician","basic.9y",40,"mon",4.857,"married",5191,"may"
"230","blue-collar","basic.4y",45,"mon",4.857,"married",5191,"may"
"231","admin.","professional.course",39,"mon",4.857,"married",5191,"may"
"232","services","professional.course",50,"mon",4.857,"divorced",5191,"may"
"233","management","basic.4y",32,"mon",4.857,"divorced",5191,"may"
"234","admin.","high.school",39,"mon",4.857,"married",5191,"may"
"245","technician","university.degree",30,"mon",4.857,"married",5191,"may"
"252","blue-collar","basic.4y",41,"mon",4.857,"married",5191,"may"
"257","blue-collar","basic.9y",58,"mon",4.857,"married",5191,"may"
"262","blue-collar","basic.6y",27,"mon",4.857,"single",5191,"may"
"268","student","university.degree",31,"mon",4.857,"single",5191,"may"
"275","housemaid","high.school",49,"mon",4.857,"single",5191,"may"
"298","admin.","university.degree",36,"mon",4.857,"married",5191,"may"
"311","management","university.degree",54,"mon",4.857,"divorced",5191,"may"
"328","admin.","high.school",33,"mon",4.857,"married",5191,"may"
"332","blue-collar","basic.9y",36,"mon",4.857,"married",5191,"may"
"335","services","high.school",46,"mon",4.857,"married",5191,"may"
"340","management","university.degree",41,"mon",4.857,"married",5191,"may"
"341","management","professional.course",57,"mon",4.857,"married",5191,"may"
"343","admin.","basic.9y",49,"mon",4.857,"married",5191,"may"
"345","blue-collar","basic.4y",58,"mon",4.857,"divorced",5191,"may"
"349","entrepreneur","university.degree",33,"mon",4.857,"married",5191,"may"
"363","technician","high.school",45,"tue",4.857,"married",5191,"may"
"376","blue-collar","unknown",49,"tue",4.857,"married",5191,"may"
"379","admin.","basic.9y",33,"tue",4.857,"married",5191,"may"
"381","blue-collar","unknown",30,"tue",4.857,"single",5191,"may"
"383","management","university.degree",34,"tue",4.857,"single",5191,"may"
"388","housemaid","basic.6y",48,"tue",4.857,"married",5191,"may"
"389","unknown","unknown",28,"tue",4.857,"single",5191,"may"
"390","services","high.school",44,"tue",4.857,"married",5191,"may"
"392","management","high.school",50,"tue",4.857,"married",5191,"may"
"393","admin.","university.degree",35,"tue",4.857,"married",5191,"may"
"396","technician","professional.course",36,"tue",4.857,"married",5191,"may"
"403","blue-collar","high.school",31,"tue",4.857,"married",5191,"may"
"407","services","basic.6y",52,"tue",4.857,"divorced",5191,"may"
"410","blue-collar","basic.9y",42,"tue",4.857,"married",5191,"may"
